"id","sport_id","name","country","ext_source","ext_league_id","ext_csv_code","theodds_key","enabled_theodds","country_id","tier","is_cup","is_international","created_at","updated_at"
20869,1,Second Division,Qatar,api_football,"306",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20870,1,Stars League,Qatar,api_football,"305",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20871,1,Championship,England,api_football,"40",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20872,1,EFL Trophy,England,api_football,"46",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20873,1,FA Trophy,England,api_football,"47",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20874,1,League Cup,England,api_football,"48",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20875,1,National League,England,api_football,"43",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20876,1,League One,England,api_football,"41",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20877,1,League Two,England,api_football,"42",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20878,1,Eerste Divisie,Suriname,api_football,"568",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20879,1,Vysshaya Liga,Tajikistan,api_football,"571",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20880,1,West Bank Premier League,Palestine,api_football,"586",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20881,1,National League,Myanmar,api_football,"588",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20882,1,Pro League,Trinidad-And-Tobago,api_football,"591",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
32,1,La Liga,Spain,football_data,"2014",SP1,soccer_spain_la_liga,false,2,1,false,true,2026-02-24 17:24:37.011 +0100,2026-02-24 17:24:37.011 +0100
20883,1,Cup,Ukraine,api_football,"335",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20884,1,Druha Liga,Ukraine,api_football,"336",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20885,1,Persha Liga,Ukraine,api_football,"334",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20886,1,Premier League,Ukraine,api_football,"333",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20887,1,Pro League,United-Arab-Emirates,api_football,"301",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20888,1,Division 1,United-Arab-Emirates,api_football,"303",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20889,1,League Cup,United-Arab-Emirates,api_football,"302",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20890,1,Segunda Divisi?n,Uruguay,api_football,"269",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20891,1,Ligue 1,Tunisia,api_football,"202",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20892,1,S?per Lig,Turkey,api_football,"203",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20893,1,"1. Lig",Turkey,api_football,"204",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
20894,1,"2. Lig",Turkey,api_football,"205",,,false,,,false,false,2026-02-27 11:57:43.471 +0100,2026-02-27 11:57:43.471 +0100
